1	0.00655
3	0.00118
1	0.00410
1	0.00003
6	0.00134
1	0.00565
3	0.00083
4	0.00064
5	0.00433
2	0.00030
3	0.00143
3	0.00123
2	0.00785
1	0.00081
5	0.00339
2	0.00476
2	0.00010
4	0.00348
2	0.00177
1	0.00350
3	0.00020
6	0.00038
6	0.00018
1	0.00712
2	0.00054
1	0.00581
3	0.00102
4	0.00116
2	0.00236
2	0.00485
1	0.00047
5	0.00228
1	0.00074
6	0.00022
1	0.00580
3	0.00319
3	0.00664
2	0.00252
5	0.00394
5	0.01132
1	0.00162
1	0.00606
4	0.00194

2	0.00271
1	0.00284
4	0.00043
5	0.00014
3	0.00025
1	0.00269
2	0.00085
3	0.00098
4	0.00270
5	0.00365
