0.146	-0.049	0.094
0.146	-0.049	0.182
0.146	-0.048	0.175
0.146	-0.045	0.168
0.145	-0.045	0.168
0.145	-0.045	0.168
0.146	-0.045	0.167
0.146	-0.045	0.167
0.146	-0.046	0.169
0.147	-0.050	0.173
0.152	-0.046	0.171
0.152	-0.045	0.171
0.151	-0.044	0.096
0.151	-0.042	0.098
0.151	-0.040	0.099
0.150	-0.039	0.101
0.150	-0.036	0.102
0.150	-0.035	0.103
0.149	-0.033	0.105
0.149	-0.031	0.106
0.149	-0.027	0.108
0.148	-0.023	0.111
0.148	-0.019	0.113
0.148	-0.016	0.112
0.151	-0.012	0.109
0.152	-0.010	0.107
0.152	-0.008	0.105
0.152	-0.006	0.102
0.152	0.000	0.097
0.153	0.004	0.093
0.153	0.008	0.089
0.153	0.011	0.087
0.153	0.012	0.086
0.153	0.014	0.084
0.152	0.018	0.080
0.152	0.023	0.076
0.152	0.024	0.186
0.152	0.026	0.185
0.149	0.030	0.184
0.146	0.028	0.186
0.146	0.029	0.085
0.147	0.030	0.087
0.148	0.032	0.089
0.148	0.034	0.091
0.148	0.035	0.092
0.148	0.037	0.095
0.149	0.040	0.097
0.149	0.042	0.099
0.149	0.043	0.100
0.150	0.044	0.101
0.150	0.046	0.104
0.150	0.051	0.108
0.151	0.054	0.112
0.150	0.055	0.112
0.150	0.058	0.111
0.147	0.064	0.109
0.146	0.065	0.108
0.146	0.068	0.106
0.145	0.069	0.106
0.145	0.072	0.104
0.145	0.074	0.103
0.145	0.075	0.103
0.144	0.078	0.100
0.144	0.083	0.098
0.144	0.086	0.097
0.144	0.088	0.096
0.144	0.091	0.095
0.143	0.093	0.094
0.143	0.099	0.091
0.143	0.102	0.094
0.144	0.105	0.175
0.144	0.106	0.172
0.149	0.110	0.143
0.148	0.113	0.099
0.148	0.118	0.102
0.146	0.122	0.105
0.146	0.128	0.109
0.146	0.132	0.111
0.146	0.136	0.113
0.146	0.137	0.114
0.148	0.138	0.113
0.149	0.139	0.112
0.150	0.144	0.107
0.151	0.151	0.101
0.153	0.158	0.094
0.153	0.163	0.090
0.153	0.170	0.083
0.152	0.174	0.080
0.152	0.179	0.077
0.151	0.183	0.131
0.150	0.185	0.186
0.148	0.185	0.186
0.147	0.185	0.086
0.146	0.187	0.089
0.146	0.188	0.089
0.146	0.190	0.093
0.147	0.192	0.096
0.147	0.195	0.099
0.147	0.198	0.101
0.149	0.200	0.103
0.150	0.201	0.105
0.150	0.201	0.106
0.151	0.202	0.106
0.150	0.205	0.111
0.149	0.207	0.113
0.148	0.208	0.114
0.148	0.213	0.111
0.147	0.217	0.109
0.146	0.229	0.102
0.145	0.231	0.101
0.144	0.233	0.101
0.143	0.234	0.102
0.147	0.245	0.096
0.146	0.252	0.180
0.147	0.255	0.178
0.148	0.259	0.172
0.149	0.260	0.170
0.151	0.260	0.170
0.151	0.261	0.097
0.151	0.264	0.099
0.149	0.269	0.103
0.149	0.273	0.106
0.148	0.276	0.108
0.147	0.278	0.109
0.147	0.280	0.110
0.146	0.282	0.110
0.145	0.284	0.111
0.145	0.286	0.112
0.146	0.287	0.112
0.152	0.290	0.111
0.152	0.293	0.108
0.144	0.296	0.104
0.153	0.309	0.094
0.154	0.313	0.090
0.153	0.317	0.086
0.153	0.319	0.085
0.153	0.322	0.083
0.152	0.325	0.081
0.152	0.327	0.078
0.152	0.330	0.077
0.151	0.333	0.073
0.151	0.334	0.186
0.147	0.335	0.186
0.148	0.335	0.085
0.148	0.337	0.088
0.149	0.340	0.091
0.148	0.342	0.093
0.149	0.343	0.095
0.150	0.344	0.095
0.150	0.346	0.097
0.150	0.348	0.099
0.150	0.351	0.103
0.151	0.359	0.110
0.151	0.360	0.111
0.152	0.366	0.109
0.148	0.370	0.109
0.147	0.373	0.107
0.147	0.375	0.107
0.146	0.376	0.106
0.146	0.378	0.105
0.146	0.381	0.104
0.146	0.382	0.104
0.146	0.383	0.103
0.146	0.387	0.101
0.147	0.391	0.099
0.146	0.395	0.097
0.146	0.398	0.095
0.146	0.402	0.094
0.146	0.404	0.093
0.147	0.407	0.093
0.147	0.409	0.092
0.147	0.412	0.094
0.147	0.414	0.174
0.147	0.416	0.173
0.151	0.418	0.102
0.151	0.420	0.103
0.151	0.422	0.103
0.151	0.424	0.101
0.150	0.426	0.103
0.150	0.434	0.107
0.149	0.437	0.109
0.149	0.439	0.110
0.149	0.442	0.111
0.148	0.446	0.113
0.148	0.448	0.114
0.148	0.449	0.112
0.149	0.451	0.110
0.151	0.454	0.108
0.152	0.455	0.107
0.152	0.459	0.103
0.153	0.462	0.102
0.153	0.465	0.100
0.153	0.467	0.098
0.153	0.471	0.094
0.153	0.474	0.091
0.152	0.477	0.089
0.152	0.482	0.084
0.151	0.488	0.080
0.151	0.491	0.078
0.151	0.494	0.075
0.150	0.497	0.186
0.150	0.498	0.186
0.149	0.499	0.185
0.149	0.500	0.087
0.152	0.505	0.093
0.152	0.507	0.095
0.152	0.509	0.098
0.152	0.511	0.100
0.152	0.512	0.100
0.152	0.514	0.105
0.152	0.518	0.109
