1390249417.400	1390249472.000	0.000	0.000	0.000	0.000
1390249417.506	0.105	0.000	0.000	0.000	0.000
1390249417.600	0.095	0.000	0.000	0.000	0.000
1390249417.700	0.100	0.000	0.000	0.000	0.000
1390249417.801	0.100	0.000	0.000	0.000	0.000
1390249417.900	0.100	0.000	0.000	0.000	0.000
1390249418.000	0.100	0.000	0.000	0.000	0.000
1390249418.247	0.247	1390249472.000	0.198	0.000	-0.006
1390249418.285	0.038	0.148	0.009	0.002	-0.007
1390249418.300	0.015	0.000	0.000	0.000	-0.007
1390249418.473	0.173	0.110	0.004	0.006	0.013
1390249418.706	0.233	0.068	0.005	0.016	0.009
1390249418.850	0.144	0.104	0.003	0.004	0.001
1390249418.914	0.064	0.112	0.001	0.000	-0.001
1390249418.914	0.000	0.000	0.000	0.000	-0.001
1390249419.023	0.110	0.143	0.000	0.000	-0.000
1390249419.288	0.264	0.112	0.000	0.000	0.000
1390249419.396	0.108	0.114	0.002	0.001	-0.003
1390249419.446	0.050	0.110	0.002	0.001	0.002
1390249419.485	0.039	0.104	0.016	0.006	0.013
1390249419.574	0.089	0.072	0.009	0.011	0.016
1390249419.606	0.032	0.000	0.000	0.000	0.016
1390249419.827	0.221	0.194	0.005	0.005	0.021
1390249419.847	0.021	0.119	0.092	0.016	0.038
1390249419.906	0.059	0.000	0.000	0.000	0.038
1390249420.082	0.176	0.117	0.011	0.016	0.038
1390249420.192	0.110	0.176	0.016	0.010	0.036
1390249420.206	0.014	0.000	0.000	0.000	0.036
1390249420.382	0.176	0.160	0.011	0.012	0.040
1390249420.434	0.052	0.102	0.034	0.017	0.035
1390249420.519	0.085	0.089	0.021	0.020	0.036
1390249420.682	0.163	0.137	0.014	0.017	0.047
1390249420.706	0.024	0.000	0.000	0.000	0.047
1390249421.034	0.328	0.083	0.011	0.045	0.037
1390249421.319	0.285	0.103	0.016	0.044	0.046
1390249421.589	0.270	0.137	0.014	0.029	0.040
1390249421.758	0.169	0.120	0.022	0.030	0.038
1390249421.946	0.188	0.101	0.023	0.043	0.041
1390249422.021	0.075	0.114	0.021	0.014	0.032
1390249422.110	0.089	0.134	0.018	0.012	0.031
1390249422.354	0.244	0.124	0.009	0.017	0.042
1390249422.654	0.300	0.069	0.021	0.090	0.044
1390249422.885	0.231	0.110	0.018	0.037	0.046
1390249423.116	0.231	0.087	0.017	0.045	0.037
1390249423.140	0.023	0.285	0.087	0.007	0.041
1390249423.282	0.142	0.149	0.014	0.013	0.039
1390249423.317	0.035	0.000	0.000	0.000	0.039
1390249423.495	0.179	0.118	0.009	0.014	0.033
1390249423.760	0.264	0.079	0.016	0.054	0.044
1390249423.902	0.142	0.125	0.030	0.034	0.044
1390249424.085	0.184	0.136	0.010	0.014	0.037
1390249424.167	0.082	0.182	0.022	0.010	0.036
1390249424.186	0.019	0.000	0.000	0.000	0.036
1390249424.366	0.181	0.160	0.007	0.008	0.024
1390249424.502	0.135	0.160	0.007	0.006	0.018
1390249424.502	0.000	0.000	0.000	0.000	0.018
1390249424.662	0.160	0.172	0.004	0.004	0.014
1390249424.686	0.024	0.000	0.000	0.000	0.014
1390249424.926	0.240	0.148	0.006	0.009	0.027
1390249425.032	0.106	0.150	0.015	0.011	0.032
1390249425.132	0.100	0.182	0.017	0.009	0.034
1390249425.324	0.191	0.114	0.009	0.014	0.033
1390249425.414	0.090	0.126	0.026	0.019	0.047
1390249425.424	0.010	0.000	0.000	0.000	0.047
1390249425.623	0.200	0.204	0.011	0.011	0.044
1390249425.760	0.137	0.118	0.014	0.017	0.039
1390249425.886	0.126	0.117	0.011	0.012	0.028
1390249426.038	0.152	0.106	0.009	0.012	0.026
1390249426.235	0.197	0.098	0.009	0.018	0.035
1390249426.368	0.134	0.122	0.034	0.037	0.047
1390249426.489	0.121	0.124	0.031	0.031	0.037
1390249426.551	0.061	0.078	0.022	0.018	0.027
1390249426.569	0.018	0.000	0.000	0.000	0.027
1390249426.823	0.254	0.075	0.016	0.053	0.044
1390249426.958	0.136	0.113	0.017	0.021	0.047
1390249427.030	0.072	0.139	0.026	0.013	0.037
1390249427.108	0.078	0.079	0.028	0.028	0.044
1390249427.108	0.000	0.000	0.000	0.000	0.044
1390249427.355	0.247	0.107	0.009	0.020	0.043
1390249427.385	0.029	0.235	0.084	0.010	0.049
1390249427.385	0.000	0.000	0.000	0.000	0.049
1390249427.562	0.178	0.124	0.013	0.019	0.046
1390249427.658	0.096	0.124	0.014	0.011	0.028
1390249427.714	0.056	0.097	0.051	0.030	0.057
1390249427.769	0.055	0.000	0.000	0.000	0.057
1390249427.971	0.202	0.112	0.020	0.036	0.080
1390249428.024	0.053	0.124	0.060	0.026	0.064
1390249428.177	0.153	0.129	0.020	0.023	0.060
1390249428.281	0.104	0.098	0.025	0.027	0.052
1390249428.470	0.189	0.120	0.016	0.025	0.061
1390249428.703	0.233	0.094	0.024	0.060	0.057
1390249428.735	0.032	0.102	0.087	0.027	0.056
1390249428.858	0.123	0.194	0.022	0.014	0.054
1390249429.082	0.224	0.095	0.007	0.018	0.033
1390249429.205	0.123	0.072	0.028	0.048	0.023
1390249429.205	0.000	0.000	0.000	0.000	0.023
1390249429.502	0.297	0.057	0.012	0.062	0.038
1390249429.674	0.171	0.103	0.026	0.042	0.040
1390249429.958	0.284	0.088	0.012	0.040	0.036
1390249430.184	0.226	0.100	0.027	0.061	0.041
1390249430.376	0.192	0.094	0.022	0.046	0.038
1390249430.466	0.090	0.133	0.044	0.030	0.045
1390249430.466	0.000	0.000	0.000	0.000	0.045
1390249430.484	0.018	0.000	0.000	0.000	0.045
1390249430.657	0.173	0.142	0.012	0.015	0.042
1390249430.763	0.107	0.095	0.017	0.019	0.036
1390249430.990	0.227	0.109	0.008	0.016	0.034
1390249431.234	0.244	0.109	0.016	0.037	0.041
1390249431.598	0.364	0.079	0.017	0.080	0.043
1390249431.926	0.328	0.078	0.019	0.080	0.045
1390249432.197	0.271	0.120	0.021	0.047	0.037
1390249432.445	0.248	0.097	0.025	0.063	0.047
1390249432.672	0.228	0.128	0.019	0.034	0.048
1390249432.717	0.045	0.089	0.097	0.049	0.042
1390249432.950	0.233	0.075	0.015	0.048	0.036
1390249433.074	0.124	0.108	0.012	0.014	0.030
1390249433.122	0.048	0.104	0.005	0.002	0.005
1390249433.294	0.172	0.097	0.005	0.009	0.018
1390249433.462	0.168	0.077	0.017	0.037	0.027
1390249433.622	0.160	0.100	0.006	0.010	0.020
1390249433.750	0.128	0.116	0.013	0.014	0.014
1390249433.946	0.196	0.092	0.013	0.028	0.052
1390249434.095	0.149	0.140	0.022	0.023	0.065
1390249434.334	0.238	0.144	0.009	0.015	0.042
1390249434.498	0.164	0.197	0.013	0.011	0.025
1390249434.626	0.128	0.141	0.009	0.008	0.023
1390249434.794	0.168	0.114	0.001	0.001	0.003
1390249434.870	0.076	0.126	0.003	0.002	0.005
1390249434.956	0.086	0.130	0.018	0.012	0.031
1390249435.027	0.071	0.108	0.022	0.015	0.032
1390249435.118	0.090	0.137	0.057	0.037	0.103
1390249435.194	0.076	0.000	0.000	0.000	0.103
1390249435.382	0.188	0.183	0.031	0.032	0.118
1390249435.458	0.076	0.117	0.035	0.023	0.053
1390249435.494	0.036	0.000	0.000	0.000	0.053
1390249435.846	0.352	0.115	0.023	0.072	0.072
1390249436.038	0.192	0.108	0.012	0.022	0.048
1390249436.322	0.284	0.153	0.008	0.015	0.020
1390249436.619	0.297	0.089	0.006	0.020	0.019
1390249436.736	0.117	0.139	0.127	0.107	0.168
1390249436.790	0.054	0.127	0.095	0.040	0.101
1390249436.930	0.140	0.146	0.013	0.012	0.035
1390249437.050	0.120	0.129	0.014	0.013	0.033
1390249437.050	0.000	0.000	0.000	0.000	0.033
1390249437.200	0.150	0.141	0.007	0.007	0.020
1390249437.219	0.018	0.000	0.000	0.000	0.020
1390249437.435	0.216	0.155	0.004	0.006	0.018
1390249437.492	0.057	0.121	0.039	0.018	0.044
1390249437.519	0.027	0.000	0.000	0.000	0.044
1390249437.762	0.244	0.188	0.011	0.014	0.053
1390249437.920	0.158	0.108	0.032	0.047	0.063
1390249437.990	0.070	0.085	0.055	0.045	0.076
1390249438.066	0.076	0.146	0.040	0.021	0.060
1390249438.129	0.063	0.112	0.041	0.023	0.051
1390249438.266	0.137	0.099	0.017	0.023	0.046
