1394077056.000	0.000	0.000	0.000
0.100	0.000	0.000	0.000
0.100	0.000	0.000	0.000
0.219	-0.006	4.952	0.000
0.000	-0.006	0.000	0.000
0.120	-0.014	0.006	0.000
0.063	-0.014	0.000	0.000
0.097	-0.014	0.000	0.000
0.181	-0.004	0.001	0.000
0.019	-0.004	0.000	0.000
0.100	-0.004	0.000	0.000
0.143	-0.000	0.000	0.000
0.088	0.000	0.000	0.000
0.069	0.000	0.000	0.000
0.136	-0.001	0.000	0.000
0.135	-0.001	0.000	0.000
0.104	0.017	0.008	0.000
0.100	-0.049	0.025	0.000
0.120	-0.080	0.033	0.000
0.068	-0.024	0.018	0.000
0.037	-0.024	0.000	0.000
0.163	0.015	0.005	0.005
0.126	0.024	0.009	0.008
0.070	0.044	0.032	0.009
0.040	0.044	0.000	0.009
0.236	0.046	0.010	0.010
0.043	0.044	0.051	0.018
0.021	0.044	0.000	0.018
0.198	0.034	0.008	0.010
0.090	0.030	0.017	0.010
0.171	0.031	0.009	0.009
0.088	0.032	0.018	0.010
0.000	0.032	0.000	0.010
0.159	0.048	0.015	0.015
0.000	0.048	0.000	0.010
0.257	0.055	0.011	0.011
0.121	0.033	0.014	0.014
0.076	0.025	0.016	0.014
0.039	0.048	0.062	0.015
0.001	0.048	0.000	0.015
0.100	0.048	0.000	0.014
0.161	0.047	0.015	0.015
0.046	0.047	0.000	0.014
0.194	0.050	0.013	0.014
0.101	0.041	0.020	0.014
0.000	0.041	0.000	0.014
0.166	0.042	0.013	0.014
0.184	0.039	0.011	0.013
0.120	0.046	0.019	0.013
0.076	0.045	0.030	0.013
0.000	0.045	0.000	0.013
0.107	0.036	0.017	0.015
0.045	0.036	0.000	0.013
0.162	0.048	0.015	0.015
0.137	0.044	0.016	0.016
0.088	0.038	0.022	0.016
0.013	0.038	0.000	0.016
0.131	0.044	0.017	0.017
0.214	0.054	0.013	0.017
0.150	0.058	0.038	0.017
0.062	0.049	0.039	0.017
0.016	0.036	0.113	0.017
0.029	0.036	0.000	0.017
0.199	0.048	0.012	0.017
0.052	0.065	0.062	0.022
0.144	0.050	0.017	0.022
0.005	0.050	0.000	0.017
0.171	0.037	0.011	0.017
0.076	0.057	0.038	0.038
0.053	0.057	0.000	0.038
0.183	0.034	0.009	0.017
0.115	0.026	0.011	0.012
0.090	0.012	0.007	0.011
0.012	0.012	0.000	0.011
0.198	0.020	0.005	0.011
0.005	0.020	0.000	0.009
0.172	0.037	0.011	0.009
0.119	0.036	0.015	0.011
0.101	0.043	0.021	0.011
0.005	0.043	0.000	0.009
0.100	0.043	0.000	0.009
0.238	0.042	0.009	0.009
0.031	0.053	0.085	0.009
0.123	0.048	0.020	0.011
0.092	0.047	0.026	0.015
0.056	0.038	0.034	0.020
0.185	0.070	0.019	0.020
0.077	0.082	0.053	0.021
0.085	0.061	0.036	0.026
0.014	0.061	0.000	0.026
0.278	0.050	0.018	0.026
0.026	0.051	0.100	0.034
0.000	0.051	0.000	0.034
0.151	0.044	0.015	0.026
0.098	0.033	0.017	0.026
0.047	0.033	0.000	0.019
0.170	0.031	0.009	0.018
0.128	0.053	0.021	0.018
0.089	0.054	0.030	0.018
0.013	0.054	0.000	0.017
0.196	0.066	0.017	0.017
0.075	0.071	0.048	0.017
0.029	0.071	0.000	0.017
0.187	0.053	0.014	0.017
0.133	0.070	0.026	0.017
0.095	0.068	0.036	0.021
0.060	0.059	0.049	0.026
0.025	0.059	0.000	0.026
0.239	0.049	0.010	0.026
0.084	0.038	0.023	0.023
0.000	0.038	0.000	0.023
0.126	0.033	0.013	0.023
0.051	0.033	0.000	0.014
0.171	0.073	0.021	0.021
0.096	0.064	0.033	0.023
0.172	0.048	0.014	0.021
0.000	0.048	0.000	0.014
0.181	0.026	0.007	0.013
0.127	0.009	0.004	0.013
0.079	-0.000	0.000	0.013
0.000	-0.000	0.000	0.007
0.130	0.000	0.000	0.007
0.098	0.001	0.000	0.004
0.174	0.001	0.000	0.004
0.083	0.001	0.001	0.001
0.059	0.001	0.000	0.000
0.029	0.001	0.000	0.000
0.159	-0.000	0.000	0.000
0.100	-0.001	0.001	0.000
0.041	-0.001	0.000	0.000
0.165	-0.001	0.000	0.000
0.146	-0.001	0.000	0.000
0.042	-0.001	0.001	0.000
0.097	-0.001	0.000	0.000
0.050	-0.001	0.000	0.000
0.197	-0.001	0.000	0.000
0.003	-0.001	0.000	0.000
0.175	0.001	0.000	0.000
0.080	0.032	0.020	0.000
0.116	0.064	0.028	0.000
0.029	0.064	0.000	0.000
0.147	0.047	0.016	0.000
0.053	0.047	0.000	0.000
0.307	0.045	0.007	0.000
0.071	0.030	0.045	0.007
0.120	0.031	0.013	0.013
0.009	0.031	0.000	0.013
0.156	0.078	0.025	0.016
0.105	0.098	0.047	0.020
0.039	0.098	0.000	0.016
0.168	0.082	0.024	0.016
0.076	0.060	0.040	0.024
0.099	0.051	0.026	0.025
0.056	0.051	0.000	0.025
0.138	0.039	0.014	0.025
0.066	0.039	0.000	0.024
0.126	0.045	0.018	0.024
0.136	0.036	0.013	0.024
0.034	0.036	0.000	0.018
0.168	0.056	0.017	0.017
