0.042,-0.428,-0.466
0.046,-0.429,-0.464
0.050,-0.429,-0.461
0.054,-0.429,-0.459
0.059,-0.429,-0.457
0.063,-0.429,-0.454
0.067,-0.429,-0.451
0.070,-0.429,-0.449
0.074,-0.430,-0.446
0.078,-0.430,-0.444
0.082,-0.430,-0.441
0.086,-0.430,-0.438
0.090,-0.430,-0.436
0.094,-0.430,-0.433
0.098,-0.430,-0.430
0.102,-0.430,-0.427
0.105,-0.430,-0.425
0.109,-0.430,-0.422
0.113,-0.430,-0.419
0.117,-0.430,-0.416
0.120,-0.430,-0.413
0.119,-0.458,-0.436
0.115,-0.487,-0.460
0.108,-0.514,-0.485
0.099,-0.540,-0.510
0.087,-0.563,-0.535
0.073,-0.584,-0.559
0.057,-0.600,-0.581
0.039,-0.613,-0.600
0.020,-0.603,-0.617
0.000,-0.579,-0.630
-0.021,-0.558,-0.639
-0.041,-0.540,-0.644
-0.061,-0.526,-0.644
-0.080,-0.516,-0.640
-0.097,-0.510,-0.632
-0.111,-0.509,-0.620
-0.123,-0.505,-0.605
-0.132,-0.475,-0.586
-0.138,-0.444,-0.566
-0.140,-0.414,-0.543
-0.135,-0.414,-0.542
-0.130,-0.415,-0.540
-0.125,-0.415,-0.539
-0.120,-0.416,-0.537
-0.115,-0.416,-0.536
-0.110,-0.417,-0.534
-0.105,-0.417,-0.532
-0.100,-0.417,-0.531
-0.096,-0.418,-0.529
-0.091,-0.418,-0.527
-0.086,-0.419,-0.526
-0.081,-0.419,-0.524
-0.077,-0.420,-0.522
-0.072,-0.420,-0.521
-0.067,-0.421,-0.519
-0.063,-0.421,-0.517
-0.058,-0.421,-0.515
-0.054,-0.422,-0.513
-0.049,-0.422,-0.511
-0.044,-0.422,-0.510
-0.040,-0.423,-0.508
-0.035,-0.423,-0.506
-0.031,-0.424,-0.504
-0.026,-0.424,-0.502
-0.022,-0.424,-0.500
-0.017,-0.425,-0.498
-0.013,-0.425,-0.496
-0.009,-0.425,-0.493
-0.004,-0.426,-0.491
0.000,-0.426,-0.489
0.004,-0.426,-0.487
0.009,-0.427,-0.485
0.013,-0.427,-0.483
0.017,-0.427,-0.480
0.021,-0.427,-0.478
0.026,-0.428,-0.476
0.030,-0.428,-0.473
0.034,-0.428,-0.471
0.038,-0.428,-0.469
0.042,-0.428,-0.466
0.046,-0.429,-0.464
0.050,-0.429,-0.461
0.054,-0.429,-0.459
0.059,-0.429,-0.457
0.063,-0.429,-0.454
0.067,-0.429,-0.451
0.070,-0.429,-0.449
0.074,-0.430,-0.446
0.078,-0.430,-0.444
0.082,-0.430,-0.441
0.086,-0.430,-0.438
0.090,-0.430,-0.436
0.094,-0.430,-0.433
0.098,-0.430,-0.430
0.102,-0.430,-0.427
0.105,-0.430,-0.425
0.109,-0.430,-0.422
0.113,-0.430,-0.419
0.117,-0.430,-0.416
0.120,-0.430,-0.413
0.119,-0.458,-0.436
0.115,-0.487,-0.460
0.108,-0.514,-0.485
0.099,-0.540,-0.510
0.087,-0.563,-0.535
0.073,-0.584,-0.559
0.057,-0.600,-0.581
0.039,-0.613,-0.600
0.020,-0.603,-0.617
0.000,-0.579,-0.630
-0.021,-0.558,-0.639
-0.041,-0.540,-0.644
-0.061,-0.526,-0.644
-0.080,-0.516,-0.640
-0.097,-0.510,-0.632
-0.111,-0.509,-0.620
-0.123,-0.505,-0.605
-0.132,-0.475,-0.586
-0.138,-0.444,-0.566
-0.140,-0.414,-0.543
-0.135,-0.414,-0.542
-0.130,-0.415,-0.540
-0.125,-0.415,-0.539
-0.120,-0.416,-0.537
-0.115,-0.416,-0.536
-0.110,-0.417,-0.534
-0.105,-0.417,-0.532
-0.100,-0.417,-0.531
-0.096,-0.418,-0.529
-0.091,-0.418,-0.527
-0.086,-0.419,-0.526
-0.081,-0.419,-0.524
-0.077,-0.420,-0.522
-0.072,-0.420,-0.521
-0.067,-0.421,-0.519
-0.063,-0.421,-0.517
-0.058,-0.421,-0.515
-0.054,-0.422,-0.513
-0.049,-0.422,-0.511
-0.044,-0.422,-0.510
-0.040,-0.423,-0.508
-0.035,-0.423,-0.506
-0.031,-0.424,-0.504
-0.026,-0.424,-0.502
-0.022,-0.424,-0.500
-0.017,-0.425,-0.498
-0.013,-0.425,-0.496
-0.009,-0.425,-0.493
-0.004,-0.426,-0.491
0.000,-0.426,-0.489
0.004,-0.426,-0.487
0.009,-0.427,-0.485
0.013,-0.427,-0.483
0.017,-0.427,-0.480
0.021,-0.427,-0.478
0.026,-0.428,-0.476
0.030,-0.428,-0.473
0.034,-0.428,-0.471
0.038,-0.428,-0.469
0.042,-0.428,-0.466
0.046,-0.429,-0.464
0.050,-0.429,-0.461
0.054,-0.429,-0.459
0.059,-0.429,-0.457
0.063,-0.429,-0.454
0.067,-0.429,-0.451
0.070,-0.429,-0.449
0.074,-0.430,-0.446
0.078,-0.430,-0.444
0.082,-0.430,-0.441
0.086,-0.430,-0.438
0.090,-0.430,-0.436
0.094,-0.430,-0.433
0.098,-0.430,-0.430
0.102,-0.430,-0.427
0.105,-0.430,-0.425
0.109,-0.430,-0.422
0.113,-0.430,-0.419
0.117,-0.430,-0.416
0.120,-0.430,-0.413
0.119,-0.458,-0.436
0.115,-0.487,-0.460
0.108,-0.514,-0.485
0.099,-0.540,-0.510
0.087,-0.563,-0.535
0.073,-0.584,-0.559
0.057,-0.600,-0.581
0.039,-0.613,-0.600
0.020,-0.603,-0.617
0.000,-0.579,-0.630
-0.021,-0.558,-0.639
-0.041,-0.540,-0.644
-0.061,-0.526,-0.644
-0.080,-0.516,-0.640
-0.097,-0.510,-0.632
-0.111,-0.509,-0.620
-0.123,-0.505,-0.605
-0.132,-0.475,-0.586
-0.138,-0.444,-0.566
-0.140,-0.414,-0.543
-0.135,-0.414,-0.542
-0.130,-0.415,-0.540
-0.125,-0.415,-0.539
-0.120,-0.416,-0.537
-0.115,-0.416,-0.536
-0.110,-0.417,-0.534
-0.105,-0.417,-0.532
-0.100,-0.417,-0.531
-0.096,-0.418,-0.529
-0.091,-0.418,-0.527
-0.086,-0.419,-0.526
-0.081,-0.419,-0.524
-0.077,-0.420,-0.522
-0.072,-0.420,-0.521
-0.067,-0.421,-0.519
-0.063,-0.421,-0.517
-0.058,-0.421,-0.515
-0.054,-0.422,-0.513
-0.049,-0.422,-0.511
-0.044,-0.422,-0.510
-0.040,-0.423,-0.508
-0.035,-0.423,-0.506
-0.031,-0.424,-0.504
-0.026,-0.424,-0.502
-0.022,-0.424,-0.500
-0.017,-0.425,-0.498
-0.013,-0.425,-0.496
-0.009,-0.425,-0.493
-0.004,-0.426,-0.491
0.000,-0.426,-0.489
0.004,-0.426,-0.487
0.009,-0.427,-0.485
0.013,-0.427,-0.483
0.017,-0.427,-0.480
0.021,-0.427,-0.478
0.026,-0.428,-0.476
0.030,-0.428,-0.473
0.034,-0.428,-0.471
0.038,-0.428,-0.469
0.042,-0.428,-0.466
0.046,-0.429,-0.464
0.050,-0.429,-0.461
0.054,-0.429,-0.459
0.059,-0.429,-0.457
0.063,-0.429,-0.454
0.067,-0.429,-0.451
0.070,-0.429,-0.449
0.074,-0.430,-0.446
0.078,-0.430,-0.444
0.082,-0.430,-0.441
0.086,-0.430,-0.438
0.090,-0.430,-0.436
