0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000
-0.776	0.776	-0.045	7.759	0.000
-0.778	0.002	-0.044	0.022	0.000
-0.778	0.000	0.005	0.003	0.000
-0.778	0.000	0.005	0.000	0.000
-0.777	0.001	0.006	0.010	0.000
-0.777	0.000	-0.001	0.001	0.001
-0.778	0.001	0.000	0.006	0.003
-0.793	0.015	-0.004	0.150	0.006
-0.795	0.002	-0.004	0.021	0.010
-0.797	0.002	-0.004	0.021	0.021
-0.799	0.002	-0.004	0.023	0.021
-0.802	0.003	-0.004	0.033	0.021
-0.806	0.003	-0.005	0.032	0.021
-0.809	0.003	-0.005	0.033	0.023
-0.811	0.002	-0.005	0.017	0.023
