0.019	0.019	-0.387	0.000	-0.001	0.045	-0.100
0.008	-0.085	-0.304	2.100	-0.001	0.064	-0.100
0.008	-0.088	-0.298	2.200	-0.001	0.065	-0.100
0.008	-0.091	-0.293	2.300	-0.001	0.066	-0.100
0.007	-0.094	-0.287	2.400	-0.000	0.067	-0.100
0.007	-0.097	-0.282	2.500	-0.000	0.068	-0.100
0.007	-0.100	-0.276	2.600	-0.000	0.068	-0.100
0.006	-0.103	-0.270	2.700	-0.000	0.069	-0.100
0.006	-0.105	-0.264	2.800	-0.000	0.070	-0.100
0.006	-0.108	-0.257	2.900	-0.000	0.071	-0.100
0.006	-0.110	-0.251	3.000	-0.000	0.072	-0.100
0.005	-0.112	-0.245	3.100	-0.000	0.073	-0.100
0.005	-0.114	-0.238	3.200	-0.000	0.074	-0.100
0.005	-0.116	-0.231	3.300	-0.000	0.075	-0.100
0.004	-0.118	-0.225	3.400	-0.000	0.076	-0.100
0.004	-0.119	-0.218	3.500	-0.000	0.077	-0.100
0.004	-0.121	-0.211	3.600	-0.000	0.077	-0.100
0.004	-0.122	-0.203	3.700	-0.000	0.078	-0.100
0.003	-0.123	-0.196	3.800	-0.000	0.079	-0.100
0.003	-0.124	-0.189	3.900	-0.000	0.080	-0.100
0.003	-0.125	-0.181	4.000	-0.000	0.081	-0.100
0.003	-0.126	-0.174	4.100	-0.000	0.082	-0.100
0.003	-0.127	-0.166	4.200	-0.000	0.083	-0.100
0.002	-0.127	-0.158	4.300	-0.000	0.084	-0.100
0.002	-0.128	-0.150	4.400	-0.000	0.085	-0.100
0.002	-0.128	-0.142	4.500	-0.000	0.086	-0.100
0.002	-0.128	-0.134	4.600	-0.000	0.086	-0.100
0.002	-0.128	-0.125	4.700	-0.000	0.087	-0.100
0.001	-0.128	-0.117	4.800	-0.000	0.088	-0.100
0.001	-0.128	-0.108	4.900	-0.000	0.089	-0.100
0.001	-0.127	-0.100	5.000	-0.000	0.090	-0.100
0.001	-0.127	-0.091	5.100	-0.000	0.091	-0.100
0.001	-0.126	-0.082	5.200	-0.000	0.092	-0.100
0.000	-0.126	-0.073	5.300	-0.000	0.093	-0.100
0.000	-0.125	-0.064	5.400	-0.000	0.094	-0.100
0.000	-0.124	-0.054	5.500	-0.000	0.095	-0.100
-0.000	-0.123	-0.045	5.600	0.000	0.095	-0.100
-0.000	-0.121	-0.035	5.700	0.000	0.096	-0.100
-0.000	-0.120	-0.026	5.800	0.000	0.097	-0.100
-0.001	-0.119	-0.016	5.900	0.000	0.098	-0.100
-0.001	-0.117	-0.006	6.000	0.000	0.099	-0.100
-0.001	-0.115	0.004	6.100	0.000	0.100	-0.100
-0.001	-0.113	0.014	6.200	0.000	0.101	-0.100
-0.001	-0.111	0.024	6.300	0.000	0.102	-0.100
-0.001	-0.109	0.035	6.400	0.000	0.103	-0.100
-0.001	-0.107	0.045	6.500	0.000	0.103	-0.100
-0.002	-0.105	0.056	6.600	0.000	0.104	-0.100
-0.002	-0.102	0.067	6.700	0.000	0.105	-0.100
-0.002	-0.100	0.078	6.800	0.000	0.106	-0.100
-0.002	-0.097	0.089	6.900	0.000	0.107	-0.100
