-0.002	-1.090	0.175
-0.002	-1.094	0.176
-0.002	-1.096	0.175
-0.003	-1.099	0.175
-0.003	-1.098	0.174
-0.003	-1.098	0.173
-0.003	-1.101	0.174
-0.002	-1.100	0.174
-0.002	-1.099	0.174
-0.002	-1.098	0.174
-0.002	-1.096	0.097
-0.002	-1.095	0.098
-0.002	-1.093	0.099
-0.002	-1.091	0.101
-0.001	-1.089	0.102
-0.001	-1.087	0.103
-0.001	-1.084	0.104
-0.001	-1.082	0.106
-0.001	-1.079	0.107
-0.000	-1.078	0.108
-0.000	-1.075	0.109
-0.000	-1.073	0.110
-0.000	-1.071	0.111
0.001	-1.068	0.112
0.001	-1.064	0.113
0.002	-1.062	0.111
0.002	-1.059	0.109
0.002	-1.057	0.107
0.002	-1.055	0.106
0.002	-1.052	0.103
0.003	-1.048	0.099
0.003	-1.044	0.095
0.003	-1.040	0.092
0.003	-1.038	0.092
0.003	-1.034	0.089
0.003	-1.029	0.082
0.003	-1.025	0.078
0.003	-1.022	0.077
0.003	-1.019	0.187
0.002	-1.019	0.187
0.002	-1.019	0.187
0.002	-1.018	0.085
0.002	-1.018	0.085
0.002	-1.017	0.085
0.002	-1.014	0.090
0.001	-1.012	0.091
0.001	-1.011	0.091
0.001	-1.006	0.100
0.001	-1.000	0.106
0.001	-0.995	0.110
0.001	-0.992	0.113
0.001	-0.990	0.114
0.001	-0.988	0.113
0.000	-0.985	0.111
0.000	-0.981	0.109
0.000	-0.978	0.108
0.000	-0.976	0.108
-0.000	-0.976	0.108
-0.000	-0.974	0.107
-0.001	-0.968	0.102
-0.001	-0.960	0.099
-0.001	-0.951	0.179
-0.001	-0.950	0.179
-0.000	-0.949	0.177
-0.000	-0.948	0.176
-0.000	-0.947	0.096
-0.000	-0.942	0.100
0.000	-0.936	0.103
0.000	-0.934	0.104
0.001	-0.930	0.106
0.001	-0.928	0.107
0.001	-0.926	0.108
-0.002	-0.928	0.107
-0.002	-0.925	0.109
-0.002	-0.922	0.111
-0.002	-0.919	0.112
-0.002	-0.915	0.114
-0.002	-0.911	0.112
-0.002	-0.908	0.109
-0.002	-0.906	0.108
-0.002	-0.903	0.106
