-0.002	-1.098	0.099
-0.003	-1.096	0.187
-0.001	-1.090	0.178
-0.003	-1.090	0.177
-0.004	-1.091	0.176
-0.004	-1.090	0.175
-0.004	-1.090	0.175
-0.004	-1.090	0.175
-0.004	-1.102	0.107
-0.006	-1.108	0.176
-0.006	-1.102	0.179
-0.006	-1.098	0.095
-0.006	-1.095	0.097
-0.006	-1.093	0.098
-0.006	-1.089	0.101
-0.006	-1.087	0.102
-0.005	-1.084	0.104
-0.005	-1.079	0.107
-0.005	-1.076	0.108
-0.005	-1.073	0.109
-0.004	-1.071	0.110
-0.004	-1.069	0.111
-0.004	-1.066	0.112
-0.004	-1.064	0.113
-0.004	-1.062	0.111
-0.003	-1.059	0.109
-0.003	-1.057	0.107
-0.003	-1.054	0.104
-0.003	-1.051	0.102
-0.003	-1.049	0.100
-0.003	-1.046	0.098
-0.003	-1.041	0.094
-0.003	-1.036	0.090
-0.003	-1.034	0.088
-0.003	-1.032	0.086
-0.003	-1.030	0.084
-0.003	-1.028	0.083
-0.004	-1.024	0.079
-0.004	-1.023	0.079
-0.004	-1.021	0.077
-0.004	-1.019	0.076
-0.004	-1.016	0.190
-0.005	-1.016	0.190
-0.005	-1.015	0.084
-0.005	-1.012	0.089
-0.005	-1.008	0.092
-0.005	-1.002	0.097
-0.005	-0.999	0.100
-0.005	-0.998	0.101
-0.005	-0.996	0.103
-0.005	-0.994	0.105
-0.006	-0.993	0.106
-0.006	-0.991	0.108
-0.006	-0.988	0.110
-0.006	-0.987	0.111
-0.006	-0.983	0.112
-0.006	-0.981	0.111
-0.006	-0.979	0.110
-0.006	-0.977	0.109
-0.006	-0.975	0.108
-0.006	-0.973	0.107
-0.005	-0.970	0.106
-0.005	-0.968	0.105
-0.005	-0.965	0.103
-0.005	-0.963	0.103
-0.005	-0.961	0.102
-0.005	-0.959	0.100
-0.005	-0.954	0.098
-0.005	-0.951	0.097
-0.005	-0.949	0.095
-0.005	-0.946	0.094
-0.005	-0.943	0.177
-0.005	-0.941	0.177
-0.004	-0.939	0.178
-0.004	-0.938	0.178
-0.004	-0.937	0.177
-0.004	-0.936	0.176
-0.003	-0.934	0.176
-0.003	-0.929	0.098
-0.003	-0.927	0.099
-0.003	-0.925	0.101
-0.002	-0.923	0.102
-0.002	-0.917	0.105
-0.001	-0.915	0.106
-0.001	-0.911	0.108
-0.001	-0.906	0.110
-0.001	-0.902	0.112
-0.001	-0.899	0.112
-0.001	-0.897	0.110
0.000	-0.891	0.104
0.000	-0.886	0.100
0.000	-0.882	0.096
0.001	-0.880	0.095
0.001	-0.876	0.091
0.001	-0.868	0.084
0.002	-0.862	0.080
0.002	-0.858	0.076
0.001	-0.856	0.190
0.001	-0.854	0.189
0.001	-0.853	0.085
0.001	-0.852	0.087
0.000	-0.850	0.089
0.000	-0.849	0.090
0.000	-0.847	0.092
-0.000	-0.847	0.092
-0.000	-0.844	0.095
0.000	-0.842	0.097
-0.000	-0.841	0.097
-0.000	-0.834	0.105
-0.001	-0.831	0.107
-0.001	-0.830	0.108
-0.001	-0.828	0.109
-0.001	-0.826	0.112
-0.001	-0.820	0.111
-0.002	-0.815	0.109
-0.002	-0.812	0.106
-0.002	-0.807	0.104
-0.002	-0.804	0.103
