0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000
-0.001	0.001	-0.018	0.009	0.000
-0.001	0.000	-0.018	0.000	0.000
-0.001	0.000	-0.018	0.000	0.000
-0.001	0.000	-0.007	0.004	0.000
-0.002	0.000	-0.005	0.003	0.000
-0.002	0.000	-0.005	0.000	0.000
-0.001	0.001	0.015	0.008	0.000
-0.001	0.000	0.015	0.000	0.000
-0.000	0.000	0.009	0.004	0.003
-0.000	0.000	0.002	0.001	0.003
-0.000	0.000	-0.002	0.001	0.003
-0.000	0.000	-0.002	0.000	0.001
-0.000	0.000	-0.003	0.002	0.002
-0.000	0.000	-0.003	0.000	0.002
-0.001	0.000	-0.004	0.002	0.002
-0.001	0.000	-0.004	0.000	0.001
0.008	0.009	0.179	0.090	0.002
0.025	0.017	0.336	0.168	0.002
0.025	0.000	0.336	0.000	0.002
0.020	0.005	-0.110	0.055	0.002
0.016	0.004	-0.078	0.039	0.002
0.016	0.000	-0.078	0.000	0.002
0.016	0.001	0.013	0.007	0.007
0.016	0.000	0.013	0.000	0.007
0.019	0.002	0.043	0.022	0.022
0.020	0.001	0.027	0.013	0.022
0.020	0.000	0.027	0.000	0.022
0.020	0.000	0.027	0.000	0.013
0.021	0.001	0.030	0.015	0.013
0.023	0.001	0.026	0.013	0.013
0.024	0.001	0.024	0.012	0.013
0.025	0.001	0.025	0.013	0.013
0.029	0.004	0.010	0.043	0.013
0.032	0.003	0.031	0.027	0.013
0.033	0.001	0.013	0.007	0.013
0.033	0.001	0.011	0.005	0.013
0.033	0.000	0.011	0.000	0.013
0.033	0.000	0.011	0.000	0.013
0.034	0.001	0.011	0.005	0.013
0.035	0.001	0.026	0.013	0.013
0.036	0.001	0.022	0.011	0.012
0.037	0.001	0.018	0.009	0.011
0.037	0.000	0.018	0.000	0.009
0.038	0.001	0.024	0.012	0.009
0.040	0.001	0.023	0.012	0.009
0.040	0.000	0.023	0.000	0.009
0.041	0.001	0.021	0.011	0.011
0.042	0.001	0.019	0.009	0.011
0.042	0.000	0.019	0.000	0.011
0.042	0.001	0.019	0.009	0.011
0.044	0.001	0.025	0.012	0.011
0.044	0.000	0.025	0.000	0.009
0.045	0.001	0.024	0.012	0.011
0.046	0.002	0.030	0.015	0.012
0.046	0.000	0.030	0.000	0.011
0.048	0.001	0.026	0.013	0.011
0.049	0.001	0.021	0.011	0.011
0.050	0.001	0.024	0.012	0.012
0.050	0.000	0.024	0.000	0.012
0.050	0.000	0.024	0.000	0.012
0.051	0.001	0.016	0.008	0.012
0.051	0.000	0.016	0.000	0.011
0.052	0.001	0.018	0.009	0.011
0.053	0.001	0.026	0.013	0.011
0.054	0.001	0.025	0.013	0.011
0.054	0.000	0.025	0.000	0.011
0.055	0.001	0.021	0.011	0.011
0.055	0.000	0.021	0.000	0.009
0.056	0.001	0.016	0.008	0.008
0.056	0.000	0.016	0.000	0.008
