0.938,9223372013568.000,0.000
0.938,3.999,0.235
0.065,3.381,0.019
0.065,3.597,0.018
0.071,3.781,0.019
0.071,3.710,0.019
0.074,3.604,0.021
0.074,0.901,0.083
0.077,4.297,0.018
0.077,1.599,0.048
0.030,1.889,0.016
0.030,3.306,0.009
0.069,3.496,0.020
0.069,2.502,0.028
0.054,3.200,0.017
0.054,2.795,0.019
0.049,2.601,0.019
0.049,3.520,0.014
0.081,4.010,0.020
0.081,3.295,0.025
0.070,3.299,0.021
0.070,3.399,0.021
0.053,2.810,0.019
0.053,4.104,0.013
0.076,3.899,0.020
0.076,3.495,0.022
0.076,4.197,0.018
0.076,3.396,0.022
0.078,3.889,0.020
